Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,AZO,0,0,0,0,23490000000.0,31510000000.0,15.43,16.37,1.37,2.06,,2.61,11.99,13.42,18.51,12.36,,12080000000.0,500.58,2.6,6370000000.0,2620000000.0,1620000000.0,65.55,1.6,200920000.0,8.6,8380000000.000001,,0.92,-72.85,1960000000.0,1020000000.0,0.75,918.3,1078.75,23350000.0,23350000.0,23180000.0,0.42,97.47,1.39,1.39,2.23,
0,0,BA,0,0,0,0,77720000000.0,94990000000.0,,40.16,5.91,1.02,,1.24,129.41,-0.83,-2.75,-1.05,,76560000000.0,135.26,-36.8,4760000000.0,169000000.0,-636000000.0,-1.12,,10030000000.0,17.81,28530000000.0,,1.05,-15.31,-2450000000.0,-2850000000.0,1.76,141.75,286.01,25500000.0,564230000.0,531710000.00000006,0.13,67.71,14610000.0,0.32,2.6,9530000.0
0,0,BAC,0,0,0,0,189730000000.0,,8.93,12.36,1.65,2.21,0.79,,,29.57,35.78,0.97,9.07,81600000000.0,8.9,-18.1,85580000000.0,,22670000000.0,2.46,-45.2,815620000000.0,94.01,511530000000.0,,,27.84,,,1.7,21.91,30.13,88100000.0,8680000000.0,8650000000.0,0.1,73.63,108700000.0,0.99,1.41,98000000.0
0,0,BAX,0,0,0,0,46320000000.0,48940000000.0,47.32,26.25,2.22,4.17,5.88,4.31,26.17,8.81,17.51,7.33,12.82,11360000000.0,22.32,,4920000000.0,2770000000.0,1000000000.0,1.93,,3340000000.0,6.57,6010000000.0,76.0,2.32,15.57,2100000000.0,1030000000.0,0.8,83.4,84.84,3340000.0,507210000.0,506330000.0,0.13,87.27,6520000.0,1.59,1.29,6340000.0
0,0,BBBY,0,0,0,0,661740000.0,3050000000.0,,10.03,,0.06,0.37,0.27,-8.52,-5.5,-0.79,-0.77,-28.38,11160000000.0,89.73,-6.1,3540000000.0,254180000.0,-613820000.0,-4.94,,1390000000.0,11.24,3770000000.0,213.62,1.55,14.31,590940000.0,415870000.0,2.11,5.25,11.88,13730000.0,126530000.0,116780000.0,4.94,116.36,65730000.00000001,5.03,82.11,70290000.0
0,0,BBRY,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BBT,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BBY,0,0,0,0,17890000000.0,19730000000.0,12.1,13.66,2.57,0.43,5.14,0.45,6.88,3.53,4.7,9.01,45.42,43640000000.0,164.73,2.7,10050000000.0,2860000000.0,1540000000.0,5.75,1.4,2350000000.0,9.13,4070000000.0000005,116.96,1.1,13.56,2560000000.0,1580000000.0,1.3,62.67,76.95,2990000.0,256970000.00000003,228470000.0,14.88,81.47,7150000.0,1.92,3.76,6870000.0
0,0,BCR,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,BDX,0,0,0,0,71880000000.0,90720000000.0,96.04,22.22,2.87,4.2,3.39,5.23,24.65,5.26,16.53,3.42,4.28,17350000000.0,64.17,1.6,8289999999.999999,5090000000.0,760000000.0,2.76,-53.6,568000000.0,2.1,19850000000.0,93.62,0.96,78.18,3800000000.0,3320000000.0,0.99,238.64,254.29,2430000.0,271170000.0,270410000.0,0.17,89.04,6240000.0,2.39,2.67,4920000.0
0,0,BEAM,0,0,0,0,931820000.0,1170000000.0,,,,9.33,9.33,-15.72,-15.72,0.0,-417522.22,-29.07,-66.67,0.0,0.0,,-71650000.0,-71650000.0,-91040000.0,-14.05,,91850000.0,1.89,31240000.0,30.94,3.24,-27.45,-72000000.0,-52030000.0,,17.19,19.97,49660000.0,49660000.0,30940000.0,13.61,20.62,3.16,3.16,3.08,
0,0,BEN,0,0,0,0,7880000000.0,3020000000.0,6.32,7.93,1.7,1.37,0.78,0.52,1.61,21.99,27.0,6.73,11.43,5780000000.0,11.56,0.1,2380000000.0,1610000000.0,1260000000.0,2.51,27.0,5860000000.0,11.8,1010000000.0,8.73,4.53,20.26,-21500000.0,1090000000.0,1.33,17.01,23.73,6050000.0,496900000.0,270940000.0,45.7,51.11,29590000.0,5.22,10.97,31200000.0
